EnglishName,FilipinoName,Acronym,Established,Address
Department of Agrarian Reform,Kagawaran ng Repormang Pansakahan,DAR,"September 1, 1971","Elliptical Road, Quezon City"
Department of Agriculture,Kagawaran ng Pagsasaka,DA,"June 23, 1898","Elliptical Road, Quezon City"
Department of Budget and Management,Kagawaran ng Badyet at Pamamahala,DBM,"April 25, 1936","San Miguel, Manila"
Department of Education,Kagawaran ng Edukasyon,DepEd,"January 21, 1901","Meralco Avenue, Pasig"
Department of Energy,Kagawaran ng Enerhiya,DOE,"December 9, 1992","Bonifacio Global City, Taguig"
Department of Environment and Natural Resources,Kagawaran ng Kapaligiran at Likas na Yaman,DENR,"January 1, 1917","Visayas Avenue, Quezon City"
Department of Finance,Kagawaran ng Pananalapi,DOF,"April 17, 1897","Roxas Boulevard, Manila"
Department of Foreign Affairs,Kagawaran ng Ugnayang Panlabas,DFA,"June 23, 1898","Roxas Boulevard, Pasay"
Department of Health,Kagawaran ng Kalusugan,DOH,"September 29, 1898","Tayuman, Manila"
Department of Human Settlements and Urban Development,Kagawaran ng Pananahanang Pantao at Pagpapaunlad ng Kalunsuran,DHSUD,"February 14, 2019","Diliman, Quezon City"
Department of Information and Communications Technology,Kagawaran ng Teknolohiyang Pang-Impormasyon at Komunikasyon,DICT,"June 9, 2016","Carlos P. Garcia Avenue, Diliman, Quezon City"
Department of Justice,Kagawaran ng Katarungan,DOJ,"April 17, 1897","Padre Faura, Manila"
Department of Labor and Employment,Kagawaran ng Paggawa at Empleyo,DOLE,"December 8, 1933","Intramuros, Manila"
Department of Migrant Workers,Kagawaran ng Manggagawang Mandarayuhan,DMW,"December 30, 2021","Ortigas Avenue, Mandaluyong"
Department of National Defense,Kagawaran ng Tanggulang Pambansa,DND,"November 1, 1939","Camp Aguinaldo, Quezon City"
Department of Public Works and Highways,Kagawaran ng mga Pagawain at Lansangang Bayan,DPWH,"June 23, 1898","Port Area, Manila"
Department of Science and Technology,Kagawaran ng Agham at Teknolohiya,DOST,"January 30, 1987","Central Bicutan, Taguig"
Department of Social Welfare and Development,Kagawaran ng Kalingang Panlipunan at Pagpapaunlad,DSWD,"January 21, 1899","Batasan Hills, Quezon City"
Department of the Interior and Local Government,Kagawaran ng Interyor at Pamahalaang Lokal,DILG,"March 22, 1897","Quezon Avenue, Quezon City"
Department of Tourism,Kagawaran ng Turismo,DOT,"May 11, 1973","Gil Puyat Avenue, Makati"
Department of Trade and Industry,Kagawaran ng Kalakalan at Industriya,DTI,"June 23, 1898","Gil Puyat Avenue, Makati"
Department of Transportation,Kagawaran ng Transportasyon,DOTr,"January 23, 1899","Clark Freeport Zone, Mabalacat, Pampanga"
